problem,N,coupling,B,blocks,work_s,model_error,measured_error,measured_se,b2_hat,b2_ci,V_pair,C_pair
gaussian,1600,independent,2,32,0.05685060034363687,0.0001595651828892714,0.0001530620301273445,1.4376929062540373e-05,2.5312427969978254e-06,"[-3.728349100452075e-07, 2.161142631100661e-05]",0.00031406788018454717,0.028425300171818435
gaussian,1600,independent,4,16,0.11370120068727374,8.104821284313462e-05,8.416093369730683e-05,1.1066192141343745e-05,2.5312427969978254e-06,"[-3.728349100452075e-07, 2.161142631100661e-05]",0.00031406788018454717,0.028425300171818435
gaussian,1600,independent,8,8,0.22740240137454748,4.178972782006622e-05,3.521313619451826e-05,4.507671754012689e-06,2.5312427969978254e-06,"[-3.728349100452075e-07, 2.161142631100661e-05]",0.00031406788018454717,0.028425300171818435
twopulse,1600,raw_rank,1,64,0.02696859051576439,0.0002553448594180562,0.00025534485941805616,2.4908125075486053e-05,1.327819719693002e-08,"[-6.232808195684689e-07, 1.2546923403006917e-05]",0.0002553315812208593,0.02696859051576439
twopulse,1600,raw_rank,2,32,0.05393718103152878,0.00012767906880762657,0.0001379947004102367,1.9874484569768076e-05,1.327819719693002e-08,"[-6.232808195684689e-07, 1.2546923403006917e-05]",0.0002553315812208593,0.02696859051576439
twopulse,1600,raw_rank,4,16,0.10787436206305756,6.384617350241175e-05,8.183019944357928e-05,1.321722046485381e-05,1.327819719693002e-08,"[-6.232808195684689e-07, 1.2546923403006917e-05]",0.0002553315812208593,0.02696859051576439
twopulse,1600,raw_rank,8,8,0.21574872412611512,3.192972584980434e-05,3.8634957579507695e-05,7.869636804270296e-06,1.327819719693002e-08,"[-6.232808195684689e-07, 1.2546923403006917e-05]",0.0002553315812208593,0.02696859051576439
twopulse,1600,sign_adjusted,1,64,0.028547726515682825,4.531947011140427e-05,4.531947011140422e-05,1.3833574768852221e-06,3.433366423080351e-06,"[2.977055522291106e-06, 5.3874176955872494e-06]",4.1886103688323917e-05,0.028547726515682825
twopulse,1600,sign_adjusted,2,32,0.05709545303136565,2.437641826724231e-05,2.4025568917278926e-05,1.0259510166026694e-06,3.433366423080351e-06,"[2.977055522291106e-06, 5.3874176955872494e-06]",4.1886103688323917e-05,0.028547726515682825
twopulse,1600,sign_adjusted,4,16,0.1141909060627313,1.390489234516133e-05,1.3809233461026172e-05,9.84003450057548e-07,3.433366423080351e-06,"[2.977055522291106e-06, 5.3874176955872494e-06]",4.1886103688323917e-05,0.028547726515682825
twopulse,1600,sign_adjusted,8,8,0.2283818121254626,8.66912938412084e-06,8.427186561432683e-06,4.82015108478155e-07,3.433366423080351e-06,"[2.977055522291106e-06, 5.3874176955872494e-06]",4.1886103688323917e-05,0.028547726515682825
twopulse,1600,within_sign,1,64,0.0314745280153943,5.542162325657181e-05,5.5421623256571715e-05,1.40034486691164e-06,3.788187014700094e-06,"[3.2491051543963443e-06, 6.259508798034097e-06]",5.163343624187171e-05,0.0314745280153943
twopulse,1600,within_sign,2,32,0.0629490560307886,2.960490513563595e-05,2.8673613990658844e-05,1.087817564865007e-06,3.788187014700094e-06,"[3.2491051543963443e-06, 6.259508798034097e-06]",5.163343624187171e-05,0.0314745280153943
twopulse,1600,within_sign,4,16,0.1258981120615772,1.6696546075168022e-05,1.6268989794025164e-05,1.1112877484397487e-06,3.788187014700094e-06,"[3.2491051543963443e-06, 6.259508798034097e-06]",5.163343624187171e-05,0.0314745280153943
twopulse,1600,within_sign,8,8,0.2517962241231544,1.0242366544934058e-05,9.738665050477888e-06,4.3781324454296187e-07,3.788187014700094e-06,"[3.2491051543963443e-06, 6.259508798034097e-06]",5.163343624187171e-05,0.0314745280153943
twopulse,1600,independent,1,64,0.028661356843713293,0.0004900010685709404,0.0004900010685709404,3.816292124108222e-05,7.857810497179268e-07,"[-1.5357842012810514e-06, 2.7318553491793486e-05]",0.0004892152875212224,0.028661356843713293
twopulse,1600,independent,2,32,0.057322713687426585,0.0002453934248103291,0.000252103313422144,2.5415292124282504e-05,7.857810497179268e-07,"[-1.5357842012810514e-06, 2.7318553491793486e-05]",0.0004892152875212224,0.028661356843713293
twopulse,1600,independent,4,16,0.11464542737485317,0.00012308960293002353,0.00012216680058408632,1.6102620522025713e-05,7.857810497179268e-07,"[-1.5357842012810514e-06, 2.7318553491793486e-05]",0.0004892152875212224,0.028661356843713293
twopulse,1600,independent,8,8,0.22929085474970634,6.193769198987073e-05,4.11189169793477e-05,5.0149312467658475e-06,7.857810497179268e-07,"[-1.5357842012810514e-06, 2.7318553491793486e-05]",0.0004892152875212224,0.028661356843713293
